2024-06-07 15:58:19,905	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:94:2F:10:8E:00: .
2024-06-07 15:58:19,908	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:5F:3D:A9:83:6E: .
2024-06-07 15:58:19,910	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:19,911	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:20,036	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:20,037	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:20,139	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:20,140	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:20,146	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:20,147	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-07 15:58:20,152	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:DC:7F:AD:AF:27: .
2024-06-07 15:58:20,154	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
